 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio
1,pilB_mNG_Agarose_Gasket_0_event1_tirf_RAW_Stack.tif,654,255,255,255,25.74771,45.25076,1,724,158.64365,114858.0,51,563,85.27194,254.66667,100.0,80,74.8375,5987.0,39,143,28.953229999999998,0,0,262.66667,140.66666999999998,80,344.2625,27541.0,191,563,101.12640999999999,0,1,1.45317
2,pilB_mNG_Agarose_Gasket_0_event1_tirf_RAW_Stack.tif,477,255,255,255,27.33019,36.26939,1,541,93.6451,50662.0,35,293,41.50943,444.66667,119.33333,80,65.2875,5223.0,28,116,25.82423,0,0,428.0,146.66666999999998,80,156.9625,12557.0,69,293,59.136919999999996,0,1,1.28759
3,pilB_mNG_Agarose_Gasket_0_event1_tirf_RAW_Stack.tif,544,255,255,255,24.658089999999998,38.68934,1,607,119.11697,72304.0,40,186,42.07966,206.66666999999998,379.33333,80,131.1125,10489.0,55,181,38.220209999999994,0,0,213.33333,346.0,80,102.5625,8205.0,48,174,39.8557,0,1,0.97419
4,pilB_mNG_Agarose_Gasket_0_event1_tirf_RAW_Stack.tif,1003,255,255,255,55.52991,23.10219,1,1103,102.49773,113055.0,42,175,31.98828,346.0,438.0,80,113.85,9108.0,61,175,35.93105,1,0,278.66667,446.0,80,98.075,7846.0,41,156,33.9839,0,1,1.03977
1,pilB_mNG_Agarose_Gasket_0_event10_tirf_RAW_Stack.tif,1030,255,255,255,41.00485,39.8,1,1145,129.66638,148468.0,46,418,57.69154,292.66667,86.0,80,194.125,15530.0,103,336,61.51595,0,0,247.33333,122.66667,80,240.3125,19225.0,114,418,76.39796,0,1,1.88158
1,pilB_mNG_Agarose_Gasket_0_event11_tirf_RAW_Stack.tif,692,255,255,255,42.60405,29.898840000000003,1,779,146.89473999999998,114431.0,55,677,85.25084,148.66666999999998,202.66666999999998,80,125.4375,10035.0,69,154,23.10014,2,0,190.66666999999998,218.0,80,316.5375,25323.0,120,677,156.27515,2,1,1.7299400000000003
2,pilB_mNG_Agarose_Gasket_0_event11_tirf_RAW_Stack.tif,824,255,255,255,23.11165,45.09223,1,908,169.34141,153762.0,64,521,63.080040000000004,322.0,212.66667,80,183.125,14650.0,106,244,32.02901,1,0,315.33333,162.66666999999998,80,284.2125,22737.0,155,521,93.36192,1,1,1.50191
3,pilB_mNG_Agarose_Gasket_0_event11_tirf_RAW_Stack.tif,589,255,255,255,30.985570000000003,35.199490000000004,1,661,161.52799,106770.0,50,468,71.95919,344.66667,330.0,80,144.8,11584.0,72,227,43.9241,0,0,363.33333,356.66667,80,267.95,21436.0,118,468,92.87897,1,1,1.40195
4,pilB_mNG_Agarose_Gasket_0_event11_tirf_RAW_Stack.tif,535,255,255,255,32.191590000000005,26.68505,1,597,103.69179,61904.0,43,161,32.57797,455.33333,134.66666999999998,80,113.5,9080.0,61,140,19.95818,1,1,430.66667,123.33333,80,116.4125,9313.0,67,144,21.498720000000002,0,0,1.15456
1,pilB_mNG_Agarose_Gasket_0_event12_tirf_RAW_Stack.tif,906,255,255,255,28.296909999999997,46.522079999999995,1,1001,142.27772,142420.0,52,606,74.23080999999999,95.33333,205.33333000000002,80,114.8125,9185.0,81,131,12.50933,0,1,78.66667,252.0,80,319.7375,25579.0,153,606,117.71288,1,0,1.69733
2,pilB_mNG_Agarose_Gasket_0_event12_tirf_RAW_Stack.tif,1096,255,255,255,33.17792,49.28832,1,1213,117.65128,142711.0,49,318,42.8131,335.33333,99.33333,80,159.4625,12757.0,112,182,17.636229999999998,2,1,311.33333,46.0,80,196.9125,15753.0,90,318,56.71965,3,0,1.6429900000000002
3,pilB_mNG_Agarose_Gasket_0_event12_tirf_RAW_Stack.tif,639,255,255,255,36.37167,25.16354,1,712,102.87079,73244.0,44,160,32.41751,386.0,472.66667,80,104.5375,8363.0,58,135,18.08275,1,1,352.66667,461.33333,80,132.9625,10637.0,76,160,21.044520000000002,0,0,1.20843
1,pilB_mNG_Agarose_Gasket_0_event13_tirf_RAW_Stack.tif,1048,255,255,255,43.66794,39.17557,1,1164,208.0421,242161.0,74,628,92.56515,425.33333,366.0,80,352.65,28212.0,165,599,104.97138000000001,1,1,376.66667,329.33333,80,348.6625,27893.0,167,628,113.33695,1,0,1.89222
2,pilB_mNG_Agarose_Gasket_0_event13_tirf_RAW_Stack.tif,570,255,255,255,30.633329999999997,31.20702,1,638,133.00313,84856.0,42,429,61.33054,400.0,252.66667,80,120.475,9638.0,54,168,32.10662,0,0,378.0,270.0,80,234.9125,18793.0,97,429,84.22035,1,0,1.50532
3,pilB_mNG_Agarose_Gasket_0_event13_tirf_RAW_Stack.tif,1206,255,255,255,56.108619999999995,24.26285,1,1315,151.14753000000002,198759.0,59,487,53.043240000000004,164.66666999999998,192.66666999999998,80,169.9125,13593.0,91,211,31.735529999999997,2,0,235.33333,184.0,80,246.4375,19715.0,144,487,88.78617,2,1,1.45325
1,pilB_mNG_Agarose_Gasket_0_event2_tirf_RAW_Stack.tif,1067,255,255,255,49.667759999999994,42.581540000000004,1,1180,145.11016999999998,171230.0,55,399,57.49298,120.66667,178.66666999999998,80,88.0,7040.0,43,178,40.48972,0,1,176.0,218.0,80,226.4625,18117.0,77,399,92.50644,1,0,1.09792
2,pilB_mNG_Agarose_Gasket_0_event2_tirf_RAW_Stack.tif,940,255,255,255,24.63191,48.97872,1,1043,105.88303,110436.0,48,400,49.73731,426.0,463.33333,80,86.925,6954.0,52,113,16.70123,1,0,417.33333,398.66667,80,208.5875,16687.0,80,400,93.5882,0,1,1.50318
1,pilB_mNG_Agarose_Gasket_0_event3_tirf_RAW_Stack.tif,620,255,255,255,30.53548,35.43387,1,693,127.56133,88400.0,48,234,45.882709999999996,116.66667,124.66667,80,113.7375,9099.0,61,171,30.71335,0,0,134.66666999999998,93.33333,80,161.75,12940.0,69,234,45.64184,0,2,1.10633
2,pilB_mNG_Agarose_Gasket_0_event3_tirf_RAW_Stack.tif,1049,255,255,255,59.66111,20.63823,1,1153,185.30268999999998,213654.0,66,783,97.84187,159.33333000000002,316.66667,80,142.4625,11397.0,59,213,46.28447,1,0,228.0,319.33333,80,465.4125,37233.0,269,783,143.21867,1,1,1.8288900000000001
