 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio,Strain,Growth,Cell_ID,Pole_RadiusDim,Pole_RadiusBright
1,mNG_pilG_fliC-_sol_Gasket_0_event10_tirf_RAW_Stack.tif,792.0,255.0,255.0,255.0,36.07197,39.7298,1,889,53.03262,47146.0,24,189,21.55226,242.37306,241.14105,156,46.02564,7180.0,27,68,11.28342,0,0,210.00992,281.36444,156,66.52564,10378.0,21,189,43.68397,0,0,1.09744,mNG_pilG_fliC-,Solid,,,
1,mNG_pilG_fliC-_sol_Gasket_0_event11_tirf_RAW_Stack.tif,1101.0,255.0,255.0,255.0,45.59173,37.85604,1,1217,46.91783,57099.0,24,95,12.72307,203.63308,390.64704,208,49.20192,10234.0,25,83,15.47095,0,0,252.50034,357.54976,208,52.08654,10834.0,27,95,17.22997,0,0,1.12586,mNG_pilG_fliC-,Solid,,,
2,mNG_pilG_fliC-_sol_Gasket_0_event11_tirf_RAW_Stack.tif,993.0,255.0,255.0,255.0,35.93202,51.36606,1,1107,63.61247,70419.0,27,241,33.45182,225.81402000000003,81.81184,156,85.69230999999998,13368.0,30,215,49.86221,1,0,256.24085,138.61946,156,92.91667,14495.0,31,241,54.21748,0,0,1.66832,mNG_pilG_fliC-,Solid,,,
1,mNG_pilG_fliC-_sol_Gasket_0_event12_tirf_RAW_Stack.tif,714.0,255.0,255.0,255.0,34.61765,40.53782,1,801,41.29838,33080.0,23,85,11.73508,293.73274,420.57114,177,43.81356,7755.0,21,76,14.79459,0,0,267.72981,458.05562,177,44.91525,7950.0,25,85,17.01465,0,0,1.14135,mNG_pilG_fliC-,Solid,,,
2,mNG_pilG_fliC-_sol_Gasket_0_event12_tirf_RAW_Stack.tif,605.0,255.0,255.0,255.0,21.11818,42.91653,1,676,105.33284,71205.0,38,414,69.10597,165.45471,90.74456,156,120.65385,18822.0,35,323,78.56312,1,0,167.70041,127.13599,156,131.03846,20442.0,27,414,105.10805,0,0,1.43414,mNG_pilG_fliC-,Solid,,,
1,mNG_pilG_fliC-_sol_Gasket_0_event13_tirf_RAW_Stack.tif,832.0,255.0,255.0,255.0,35.003609999999995,42.54567,1,926,66.20841999999999,61309.0,29,195,28.70199,165.0429,331.64465,177,77.74576,13761.0,27,195,41.39057,0,0,139.23623,292.1728,177,84.0113,14870.0,36,186,37.93101,1,0,1.41571,mNG_pilG_fliC-,Solid,,,
2,mNG_pilG_fliC-_sol_Gasket_0_event13_tirf_RAW_Stack.tif,1244.0,255.0,255.0,255.0,56.26286,46.13424000000001,1,1394,62.41105,87001.0,27,341,38.49705,387.01266,229.98422,137,118.83942,16281.0,23,341,83.39367,2,0,388.73306,227.35866,137,122.25547,16749.0,26,341,81.37351,2,0,2.50159,mNG_pilG_fliC-,Solid,,,
1,mNG_pilG_fliC-_sol_Gasket_0_event14_tirf_RAW_Stack.tif,1189.0,255.0,255.0,255.0,22.98696,66.12489000000001,1,1312,63.07621999999999,82756.0,30,267,30.58445,295.93573,256.57258,137,81.23358,11129.0,26,198,49.09119000000001,2,0,299.41217,170.40081,137,93.29927,12782.0,22,267,65.46006,4,0,1.53934,mNG_pilG_fliC-,Solid,,,
1,mNG_pilG_fliC-_sol_Gasket_0_event15_tirf_RAW_Stack.tif,1173.0,255.0,255.0,255.0,45.95951,41.42072,1,1309,49.61115,64941.0,29,231,25.57326,298.7596200000001,244.64304,97,39.36082,3818.0,29,55,7.31606,1,0,300.50911,241.98638,97,41.54639,4030.0,32,55,6.59075,2,0,0.79004,mNG_pilG_fliC-,Solid,,,
1,mNG_pilG_fliC-_sol_Gasket_0_event16_tirf_RAW_Stack.tif,825.0,255.0,255.0,255.0,45.06121,21.3303,1,918,78.22766999999997,71813.0,24,228,30.18206,353.54483,226.69517,137,63.91241,8756.0,23,113,25.08646,1,0,301.43114,225.89047,137,91.82482,12580.0,35,228,52.20743,2,0,0.99347,mNG_pilG_fliC-,Solid,,,
1,mNG_pilG_fliC-_sol_Gasket_0_event17_tirf_RAW_Stack.tif,1362.0,255.0,255.0,255.0,51.2533,34.790009999999995,1,1478,81.85318000000002,120979.0,36,355,38.69579,335.50245,275.50115,225,81.61333,18363.0,42,144,27.55655,0,0,396.01255,297.8216,225,113.96444,25642.0,29,355,77.44029,0,0,1.30599,mNG_pilG_fliC-,Solid,,,
2,mNG_pilG_fliC-_sol_Gasket_0_event17_tirf_RAW_Stack.tif,647.0,255.0,255.0,255.0,25.02705,46.91422,1,726,43.93802,31899.0,24,108,13.76674,155.68115,69.77894,137,42.64964000000001,5843.0,23,72,13.13314,0,0,169.87511999999995,112.36908,137,53.64234,7349.0,21,108,24.80445,0,0,1.16331,mNG_pilG_fliC-,Solid,,,
1,mNG_pilG_fliC-_sol_Gasket_0_event18_tirf_RAW_Stack.tif,855.0,255.0,255.0,255.0,39.64152,33.61228,1,961,85.40583000000002,82075.0,32,487,63.09521,282.13492,340.5165,156,82.76923000000002,12912.0,26,213,46.62089,0,0,237.26049,303.01224,156,148.32692,23139.0,36,487,122.66215,3,0,1.6293799999999998,mNG_pilG_fliC-,Solid,,,
1,mNG_pilG_fliC-_sol_Gasket_0_event19_tirf_RAW_Stack.tif,1161.0,255.0,255.0,255.0,55.83678000000001,35.63092,1,1273,114.23252,145418.0,41,228,43.35541,275.66254,261.40557,225,99.76,22446.0,33,211,42.84154,0,0,335.10784,285.16692,225,106.80889,24032.0,28,228,53.08462,1,0,0.85914,mNG_pilG_fliC-,Solid,,,
1,mNG_pilG_fliC-_sol_Gasket_0_event20_tirf_RAW_Stack.tif,763.0,255.0,255.0,255.0,41.00983,31.03866,1,851,104.98002,89338.0,21,370,53.31958,274.88414,216.99027,137,122.40146,16769.0,34,370,79.08367,0,0,278.73523,211.26719,137,127.40146,17454.0,37,370,79.0287,0,0,1.3076,mNG_pilG_fliC-,Solid,,,
1,mNG_pilG_fliC-_sol_Gasket_0_event21_tirf_RAW_Stack.tif,1111.0,255.0,255.0,255.0,56.34428000000001,22.66112,1,1221,66.76167,81516.0,31,249,28.75398,279.24233,264.61433,156,76.82051,11984.0,26,179,38.21898,1,0,204.74214,263.76615,156,90.33333,14092.0,32,249,57.72687,0,0,1.37034,mNG_pilG_fliC-,Solid,,,
1,mNG_pilG_fliC-_sol_Gasket_0_event22_tirf_RAW_Stack.tif,797.0,255.0,255.0,255.0,43.9793,44.94918,1,893,141.84994,126672.0,43,829,114.19989,236.40236,231.52389,177,170.46328,30172.0,44,542,121.94908999999998,3,0,268.49107999999995,192.38871,177,225.0904,39841.0,44,829,192.67767,4,0,1.88146,mNG_pilG_fliC-,Solid,,,
